text,public_metrics,id,created_at,edit_history_tweet_ids,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count
💛ｶﾘﾝﾝﾝ～ https://t.co/wbmLYASAst,"{'retweet_count': 5, 'reply_count': 1, 'like_count': 120, 'quote_count': 0, 'bookmark_count': 7, 'impression_count': 1066}",1932033376988582313,2025-06-09,['1932033376988582313'],5,1,120,0,7,1066
【CROSS FIVE FUKUOKA】📸 https://t.co/fF9zc8XEMB,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 108}",1931695593254166615,2025-06-08,['1931695593254166615'],0,0,5,0,0,108
https://t.co/beEFRkCF7M,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 8, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 120}",1931663937977688114,2025-06-08,['1931663937977688114'],0,1,8,0,0,120
久留米二回目~ https://t.co/C5y43AXVjP,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 128}",1931510628142948381,2025-06-08,['1931510628142948381'],0,0,4,0,0,128
行ってきますー📸👀 https://t.co/6snQ9WVCsw,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 7, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 115}",1931497666607014271,2025-06-07,['1931497666607014271'],0,0,7,0,0,115
🍚ー https://t.co/P7Rd7xipqw,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 8, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 121}",1931210444003488108,2025-06-07,['1931210444003488108'],0,0,8,0,0,121
💛~ https://t.co/AGD15Bnerl,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 102, 'quote_count': 0, 'bookmark_count': 9, 'impression_count': 790}",1930955495910883446,2025-06-06,['1930955495910883446'],5,0,102,0,9,790
🍔 https://t.co/QWO1sVdATJ,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 10, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 169}",1930931752316670342,2025-06-06,['1930931752316670342'],0,1,10,0,0,169
💛~~ https://t.co/nEdf0vttAo,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 109, 'quote_count': 0, 'bookmark_count': 4, 'impression_count': 636}",1930607710086840609,2025-06-05,['1930607710086840609'],3,1,109,0,4,636
マックー https://t.co/wVy2cKr3iS,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 19, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 182}",1930573108676866459,2025-06-05,['1930573108676866459'],0,1,19,0,0,182
💛 https://t.co/UjW3bLJSoj,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 40, 'quote_count': 0, 'bookmark_count': 2, 'impression_count': 248}",1930399899599941800,2025-06-04,['1930399899599941800'],0,0,40,0,2,248
